Symbol,Company Name,Industry,Series
CENTURYTEX,Century Textiles & Industries Ltd.,Textiles,EQ
RAYMOND,Raymond Ltd.,Textiles,EQ
VIPIND,VIP Industries Ltd.,Consumer Durables,EQ
MANYAVAR,Vedant Fashions Ltd.,Textiles,EQ
PAGEIND,Page Industries Ltd.,Textiles,EQ
AMBER,Amber Enterprises India Ltd.,Consumer Durables,EQ
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,EQ
HGINFRA,H.G. Infra Engineering Ltd.,Construction,EQ
PNC,PNC Infratech Ltd.,Construction,EQ
IRCON,Ircon International Ltd.,Construction,EQ
NBCC,NBCC (India) Ltd.,Construction,EQ
TEJASNET,Tejas Networks Ltd.,Telecom - Equipment,EQ
STLTECH,Sterlite Technologies Ltd.,Telecom - Equipment,EQ
HFCL,HFCL Ltd.,Telecom - Equipment,EQ
INOXINDIA,Inox India Ltd.,Industrial Gases,EQ
LINDE,Linde India Ltd.,Industrial Gases,EQ
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,EQ
GRINDWELL,Grindwell Norton Ltd.,Capital Goods,EQ
TIMKEN,Timken India Ltd.,Bearings,EQ
SKF,SKF India Ltd.,Bearings,EQ
SCHAEFFLER,Schaeffler India Ltd.,Bearings,EQ
NESCO,Nesco Ltd.,Realty,EQ
MAHABANK,Bank of Maharashtra,Banks,EQ
UCO,UCO Bank,Banks,EQ
IOB,Indian Overseas Bank,Banks,EQ
UNIONBANK,Union Bank of India,Banks,EQ
J&KBANK,Jammu & Kashmir Bank Ltd.,Banks,EQ
CSBBANK,CSB Bank Ltd.,Banks,EQ
DCBBANK,DCB Bank Ltd.,Banks,EQ
LAKSHVILAS,Lakshmi Vilas Bank Ltd.,Banks,EQ
SOUTHBANK,South Indian Bank Ltd.,Banks,EQ
KPRMILL,K.P.R. Mill Ltd.,Textiles,EQ
WELSPUNIND,Welspun India Ltd.,Textiles,EQ
VARDHMAN,Vardhman Textiles Ltd.,Textiles,EQ
MAFANG,Mafia Foods Ltd.,FMCG - Foods,EQ
EIDPARRY,EID Parry (India) Ltd.,Sugar,EQ
BALRAMCHIN,Balrampur Chini Mills Ltd.,Sugar,EQ
TRIVENI,Triveni Engineering & Industries Ltd.,Sugar,EQ
DWARIKESH,Dwarikesh Sugar Industries Ltd.,Sugar,EQ
AVANTIFEED,Avanti Feeds Ltd.,Aquaculture,EQ
WATERBASE,Waterbase Ltd.,Aquaculture,EQ
VENKYS,Venky's (India) Ltd.,Poultry,EQ
SATIA,Satia Industries Ltd.,Paper,EQ
TNPL,Tamil Nadu Newsprint & Papers Ltd.,Paper,EQ
ANDHRPAP,The Andhra Paper Ltd.,Paper,EQ
SESAGOA,Vedanta Ltd.,Metals & Mining,EQ
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,EQ
NMDC,NMDC Ltd.,Mining,EQ
MOIL,MOIL Ltd.,Mining,EQ
GMDC,Gujarat Mineral Development Corporation Ltd.,Mining,EQ
SANDUMA,Sanduma Ltd.,Industrial Manufacturing,EQ
APLAPOLLO,APL Apollo Tubes Ltd.,Steel,EQ
MAN,Manaksia Ltd.,Steel,EQ
WELCORP,Welspun Corp Ltd.,Steel,EQ
RATNAMANI,Ratnamani Metals & Tubes Ltd.,Steel,EQ
RAMCOCEM,The Ramco Cements Ltd.,Cement & Cement Products,EQ
JKCEMENT,JK Cement Ltd.,Cement & Cement Products,EQ
HEIDELBERG,HeidelbergCement India Ltd.,Cement & Cement Products,EQ
BIRLACORPN,Birla Corporation Ltd.,Cement & Cement Products,EQ
ORIENTCEM,Orient Cement Ltd.,Cement & Cement Products,EQ
PRISM,Prism Johnson Ltd.,Cement & Cement Products,EQ
